School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
Massachusetts Institute of Technology,"Engineering, Private School, Research University","$93,700","$167,200",51%,68%
Harvey Mudd College,"Engineering, Liberal Arts School, Private School","$97,700","$166,600",56%,75%
Princeton University,"Ivy League, Private School, Research University, For Sports Fans","$81,800","$161,500",48%,49%
United States Naval Academy,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School","$83,700","$160,100",61%,57%
Stanford University,"Engineering, Private School, Research University, For Sports Fans","$87,100","$156,500",55%,50%
Harvard University,"Ivy League, Private School, Research University, For Sports Fans","$80,900","$156,200",49%,20%
Babson College,"Business, Private School","$77,800","$155,400",43%,2%
Santa Clara University,"Private School, Religious, For Sports Fans","$75,800","$154,700",46%,28%
United States Military Academy,"Liberal Arts School, Sober School, For Sports Fans, State School","$84,200","$154,300",60%,36%
University of Pennsylvania,"Ivy League, Private School, Research University, For Sports Fans","$78,300","$153,100",36%,23%
California Institute of Technology,"Engineering, Private School, Research University","$93,100","$153,100",53%,98%
Colgate University,"Liberal Arts School, Party School, Private School, For Sports Fans","$73,800","$152,600",43%,27%
Yale University,"Ivy League, Private School, Research University, For Sports Fans","$78,000","$151,600",53%,24%
Claremont McKenna College,"Liberal Arts School, Private School","$75,700","$151,200",47%,28%
Stevens Institute of Technology,"Engineering, Private School, Research University","$80,400","$150,900",48%,76%
SUNY Maritime College,State School,"$77,700","$150,500",55%,36%
Williams College,"Liberal Arts School, Private School","$70,600","$150,300",39%,34%
Dartmouth College,"Ivy League, Private School, Research University, For Sports Fans","$77,600","$149,800",44%,35%
Colorado School of Mines,"Engineering, Research University, State School","$79,300","$148,700",59%,96%
United States Air Force Academy,"Liberal Arts School, Sober School, For Sports Fans, State School","$80,100","$148,600",65%,40%
Lehigh University,"Private School, Research University, For Sports Fans","$74,600","$147,300",46%,48%
University of California-Berkeley,"Research University, For Sports Fans, State School","$77,400","$147,300",49%,42%
Webb Institute,"Engineering, Private School","$85,300","$146,500",45%,100%
Rose-Hulman Institute of Technology,"Engineering, Private School","$80,500","$146,500",53%,97%
United States Merchant Marine Academy,"Engineering, State School","$86,800","$145,600",57%,53%
Washington and Lee University,"Liberal Arts School, Private School","$69,100","$145,300",41%,19%
